smiles,log_KOA
Clc1cc(Cl)c2cc(Cl)c(Cl)c(Cl)c2c1,8.82
Clc1cc2c(Cl)c(Cl)c(Cl)c(Cl)c2c(Cl)c1Cl,10.50630789
Brc1ccc(-c2cc(Br)ccc2Br)cc1,9.21
Brc1cc(Br)c(-c2cc(Br)ccc2Br)c(Br)c1,10.46
Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br,12
Brc1cc(Br)c(-c2ccccc2Br)cc1Br,9.83
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,11.25275
Clc1ccc2c(Cl)cc(Cl)c(Cl)c2c1,8.13
Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1,8.915
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,12.005
Brc1ccc(Oc2cccc(Br)c2)cc1,8.57
Clc1cc(Cl)c2c(Cl)c(Cl)cc(Cl)c2c1Cl,9.69
Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1Br,10.7645
COc1c(Br)cc(Br)cc1Oc1ccc(Br)cc1Br,10.64
COc1cc(Br)cc(Br)c1Oc1ccc(Br)cc1Br,10.84
Clc1cc2c(Cl)cc(Cl)c(Cl)c2c(Cl)c1Cl,9.75
Clc1cc2c(Cl)c(Cl)c(Cl)c(Cl)c2cc1Cl,9.58
Clc1cc2c(Cl)c(Cl)c(Cl)cc2c(Cl)c1Cl,9.58
CC(O)CCO[N+](=O)[O-],6.23
Brc1cccc(-c2ccc(Br)cc2Br)c1,9.13
Brc1ccc(Oc2ccccc2Br)cc1,8.47
Brc1ccc(Oc2ccccc2Br)c(Br)c1,9.27
Brc1cccc(Oc2ccc(Br)c(Br)c2)c1,9.61
Brc1ccc(Oc2ccc(Br)c(Br)c2)cc1,9.68
CCC(O)CO[N+](=O)[O-],5.83
Clc1cc2c(Cl)ccc(Cl)c2c(Cl)c1Cl,9.115
Brc1cc(Br)c(Oc2ccccc2)c(Br)c1,9.02
Brc1ccc(Oc2ccccc2)c(Br)c1,8.37
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,11.631
CCCCC(CC)COC(=O)c1cc(Br)c(Br)c(Br)c1Br,10.43
Brc1ccc(Oc2ccccc2)cc1Br,8.55
Brc1ccc(Oc2c(Br)cccc2Br)cc1,9.28
Brc1ccc(Oc2ccc(Br)c(Br)c2)c(Br)c1,10.6315
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)cc1,10.13
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,11.185
Brc1cc(Br)c(Oc2ccc(Br)c(Br)c2)c(Br)c1,11.52
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,11.935
Brc1cc(Br)c(Oc2c(Br)cc(Br)c(Br)c2Br)cc1Br,11.964
CC(O)CCCO[N+](=O)[O-],6.53
Brc1cccc(Oc2ccc(Br)c(Br)c2Br)c1Br,11.14
Brc1ccc(Oc2ccccc2)c(Br)c1Br,9.49
Brc1ccc(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,12.001
Brc1ccc(Oc2cc(Br)c(Br)c(Br)c2Br)cc1Br,11.976
Brc1ccc(Oc2c(Br)ccc(Br)c2Br)cc1,10.23
COc1cc(Br)ccc1Oc1ccc(Br)cc1Br,10.16
COc1c(Br)ccc(Oc2ccc(Br)cc2Br)c1Br,10.84
COc1c(Br)cc(Oc2ccc(Br)cc2Br)c(Br)c1Br,11.7
COc1cc(Br)cc(Br)c1Oc1cc(Br)c(Br)cc1Br,11.43
COc1c(Br)ccc(Oc2c(Br)cc(Br)cc2Br)c1Br,12.2
COc1cc(Br)c(Br)c(Br)c1Oc1cc(Br)c(Br)c(Br)c1,13
COc1cc(Br)c(Br)c(Br)c1Oc1cc(Br)ccc1Br,11.6
COc1cc(Br)c(Br)c(Br)c1Oc1cccc(Br)c1Br,12.07
CCN(CC)N=O,4.041392685
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,8.898120805
Nc1ccccc1,4.477121255
CN(C)N=O,3.72427587
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,8.609060403
ClCBr,2.672097858
BrC(Br)Br,4.230448921
ClC(Cl)Br,3.462397998
ClC(Cl)C(Cl)(Cl)Cl,4.380211242
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,7.642959732
ClC(Cl)C(Cl)Cl,4.31284756
C=C1C2CCC(C2)C1(C)C,4.041392685
CC1=CCC2CC1C2(C)C,3.748188027
C=C(C)C(=O)OC,3.079181246
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,4.579783597
Clc1cccc2ccccc12,5.81428643
Cc1ccc2ccccc2c1,5.113943352
Clc1ccc2ccccc2c1,5.761725779
Cc1ccccc1Cl,4.113943352
Cc1ccccc1N,4.662757832
Cc1ccc(C)c(C)c1,4.204119983
ClCC(Br)CBr,4.556302501
ClCC(Cl)CCl,4.146128036
C=C(C)C(=O)OCC,3.342422681
CC(C)(C)c1ccccc1,4.176091259
CC1=CCC(C(C)C)=CC1,4.278753601
CC1=CC=C(C(C)C)CC1,3.903089987
Cc1ccc(C(C)C)cc1,4.544068044
C=Cc1ccccc1,3.929418926
CCCCc1ccccc1,4.342422681
Cc1ccc(Cl)cc1,4.146128036
Clc1ccc(Cl)cc1,4.231595235
BrCCBr,3.694583042
C=CCCl,1.672097858
C=CC#N,2.278753601
C[Si](C)(C)O[Si](C)(C)C,2.980761
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,3.769831465
CC(=O)CC(C)C,3.301029996
Cc1cc(C)cc(C)c1,4.176091259
Clc1cc(Cl)cc(Cl)c1,4.721892549
Brc1ccccc1,4.079181246
Clc1ccccc1,3.609110892
Cc1ccccn1,4.301029996
ClC/C=C/CCl,4.146128036
c1ccncc1,4.077539345
Clc1ccc(Cl)c(Cl)c1,4.930957614
C=C(C)C#N,2.602059991
C=C1CCC2CC1C2(C)C,3.681241237
CCC(C)c1ccccc1,4.204119983
C=C(C)C1CC=C(C)CC1,4.041392685
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,4.645862661
ClCCCCl,3.531478917
Cl/C=C/Cl,1.949390007
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,8.185154363
Fc1cc(F)c(F)c(F)c1F,2.544068044
Fc1c(F)c(F)c(F)c(F)c1F,2.113943352
Fc1ccc(Br)cc1,4.113943352
Fc1ccccc1,2.838849091
CC1(C)C2CC3C(C2)C31C,3.86923172
Fc1ccc(F)cc1,2.934498451
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,5.773879689
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,5.17636103
Clc1cccc(Cl)c1,4.194396823
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,4.310445975
CC=C(Cl)Cl,2.505149978
CC(C)(Cl)Cl,2.301029996
CCCN(CCC)N=O,4.301029996
ClCC(Cl)(Cl)Cl,3.886490725
Clc1cc(Cl)c(Cl)c(Cl)c1,5.602450269
