No.,Compound.name,CAS.RN,log_Koa,smiles,Fsp3,XLogP,MW,LipinskiFailures,nRotB,MLogP,nAtomP,nAtomLC,nB,nBase,nAtom,nAromBond,naAromAtom,ALogP,ALogp2,AMR,nAcid,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings5,nRings6,nRings7,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,VAdjMat,TopoPSA,topoShape,PetitjeanNumber,MDEC.11,MDEC.12,MDEC.13,MDEC.14,MDEC.22,MDEC.23,MDEC.24,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,MDEN.11,MDEN.22,MDEN.23,MDEN.33,khs.sCH3,khs.dCH2,khs.ssCH2,khs.dsCH,khs.aaCH,khs.sssCH,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.ssNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.sOH,khs.dO,khs.ssO,khs.sF,khs.ssssSi,khs.dsssP,khs.dssS,khs.ddssS,khs.sCl,khs.sBr,khs.ssssSn,khs.sI,Kier1,Kier2,HybRatio,fragC,FMF,ECCEN,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SCH.3,SCH.4,SCH.5,SCH.6,SCH.7,VCH.3,VCH.4,VCH.5,VCH.6,VCH.7,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,nHBDon,nHBAcc,bpol,apol,ExactMolWeight,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumRadicalElectrons,NumValenceElectrons,BalabanJ,BertzCT,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,MolLogP,MolMR,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumAmideBonds,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA_1,PEOE_VSA_2,PEOE_VSA_3,PEOE_VSA_4,PEOE_VSA_5,PEOE_VSA_6,PEOE_VSA_7,PEOE_VSA_8,PEOE_VSA_9,PEOE_VSA_10,PEOE_VSA_11,PEOE_VSA_12,PEOE_VSA_13,PEOE_VSA_14,SMR_VSA_1,SMR_VSA_2,SMR_VSA_3,SMR_VSA_4,SMR_VSA_5,SMR_VSA_6,SMR_VSA_7,SMR_VSA_8,SMR_VSA_9,SMR_VSA_10,SlogP_VSA_1,SlogP_VSA_2,SlogP_VSA_3,SlogP_VSA_4,SlogP_VSA_5,SlogP_VSA_6,SlogP_VSA_7,SlogP_VSA_8,SlogP_VSA_9,SlogP_VSA_10,MQNs_1,MQNs_2,MQNs_3,MQNs_4,MQNs_5,MQNs_6,MQNs_7,MQNs_8,MQNs_9,MQNs_10,MQNs_11,MQNs_12,MQNs_13,MQNs_14,MQNs_15,MQNs_16,MQNs_17,MQNs_18,MQNs_19,MQNs_20,MQNs_21,MQNs_22,MQNs_23,MQNs_24,MQNs_25,MQNs_26,MQNs_27,MQNs_28,MQNs_29,MQNs_30,MQNs_31,MQNs_32,MQNs_33,MQNs_34,MQNs_35,MQNs_36,MQNs_37,MQNs_38,MQNs_39,MQNs_40,MQNs_41,MQNs_42,CHds,XHds,HBAs,HydA0,HydA,HydP0,HydP,Hyd0,Hyd,delta_g_sol_oct,HBA1,HBA2,HBD,logP,MR,MW,nF,TPSA
1047,"2,3,4-tribromoanisole",95970-13-1,6.36,COc1ccc(Br)c(Br)c1Br,0.142857143,4.331,344.8248439,0,1,1.79,7,7,11,0,16,6,6,4.0588,16.47385744,55.3896,0,1,1,1,1,0,0,1,0,0.027004961,52,146,16,21.24145811,1.931041646,10.26573292,2.762177162,0,4.459431619,9.23,1,0.5,0,0.577350269,1.208550159,0,1,4.298279727,0,3.965406457,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,9.090909091,3.6,0.142857143,146.04,0.545454545,95,8.43072142,5.16390246,4.441195612,3.987659793,2.52617223,1.545542779,0.896182668,0.297003623,10.45483187,5.218997556,4.317943791,4.555599473,2.097467003,0.913454588,0.605295943,0.227836114,2.293681981,2.983082252,3.638257305,3.175887281,4.01716772,4.377880711,0.787269107,0,0.343418919,0,0.833389173,0,0.577300493,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.131252736,0,0,6,0,0,0,0,0,1012.731446,1132.309307,1485.220671,1338.83069,619.487249,141.5487414,28.62221034,49.58023672,144.9583939,83.06286022,0,0,11.252035,25.605965,341.7890511,1.090909091,1.727272727,2.272727273,339.788,0.495535056,0.133767105,0.133767105,-0.495535056,344.828,0,60,3.249228926,272.6333506,8.43072142,5.16390246,5.696842248,2.840002748,1.877610352,1.219667298,0.665833347,10.45483187,5.218997556,4.317943791,4.555599473,2.097467003,0.46,9.547260035,3.916471569,1.976909274,3.9827,56.094,11,0,1,1,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0,0,9.23,90.51253328,4.736862954,0,0,0,0,0,59.92256583,8.945439032,11.58251706,5.749511833,0,0,0,0,4.736862954,0,0,0,0,7.109797541,25.55089268,0,5.749511833,47.78983169,4.736862954,7.109797541,0,0,0,25.55089268,0,0,0,0,7,0,0,3,0,0,0,0,0,1,0,11,5,0,0,3,3,0,1,2,1,0,0,0,0,4,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,2.7215,0,0.9498,3.1704,0.757743786,-22.0841,-5.278226577,-18.5642,-4.436950287,-9.853422287,1,1,0,3.9827,56.034,344.826,0,9.23
1048,"2,3,6-tribromoanisole",95970-19-7,6.48,COc1c(Br)ccc(Br)c1Br,0.142857143,4.331,344.8248439,0,1,1.79,7,6,11,0,16,6,6,4.0588,16.47385744,55.3896,0,1,1,1,1,0,0,1,0,0.027004961,52,144,16,21.23997958,1.930907234,10.28316512,2.757129137,0,4.459431619,9.23,0.666666667,0.4,0,0.447213595,1.373178096,0,1,4.298279727,0,3.965406457,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,9.090909091,3.6,0.142857143,146.04,0.545454545,87,8.43072142,5.16390246,4.463137695,3.852571242,2.717102985,1.639387833,0.712249944,0.280731778,10.45483187,5.218997556,4.37811119,3.810708296,2.273755268,1.354290643,0.490648104,0.164182799,2.166635271,3.085053104,3.812475761,2.436563651,3.026714013,4.069503326,0.799937374,0,0.310875228,0,0.863472872,0,0.386340547,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.131252736,0,0,6,0,0,0,0,0,1001.675367,1120.883124,1475.390542,1351.813227,674.4300237,141.5487414,28.62221034,49.58023672,109.5622787,89.71553568,0,0,11.252035,25.605965,341.7890511,1.090909091,1.636363636,2.090909091,339.788,0.49434368,0.147850989,0.147850989,-0.49434368,344.828,0,60,3.287688772,272.6333506,8.43072142,5.16390246,5.696842248,2.840002748,1.876439122,1.206063582,0.695586175,10.45483187,5.218997556,4.37811119,3.810708296,2.273755268,0.46,9.547260035,3.916471569,1.976909274,3.9827,56.094,11,0,1,1,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0,0,9.23,90.51253328,4.736862954,0,0,0,0,0,59.92256583,4.472719516,16.05523657,5.749511833,0,0,0,0,4.736862954,0,0,0,0,7.109797541,25.55089268,0,5.749511833,47.78983169,4.736862954,7.109797541,0,0,0,25.55089268,0,0,0,0,7,0,0,3,0,0,0,0,0,1,0,11,5,0,0,3,3,0,1,2,1,0,0,0,0,4,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,3.0517,0,1.0756,3.1687,0.757337476,-25.4043,-6.071773423,-20.3843,-4.871964627,-10.28843663,1,1,0,3.9827,56.034,344.826,0,9.23
1053,2-bromo-6-chloroanisole,174913-10-1,4.96,COc1c(Cl)cccc1Br,0.142857143,3.357,221.4786663,0,1,1.9,7,6,10,0,16,6,6,3.2264,10.40965696,44.9488,0,1,1,1,1,0,0,1,0,0.041968079,46,112,13,19.39714291,1.939714291,7.786932826,2.756987399,0,4.321928095,9.23,0.666666667,0.4,0,0.696238325,1.144714243,0,2.381101578,4.585756412,0,2.381101578,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,8.1,3.408284024,0.142857143,166.03,0.6,74,7.560477932,4.753218858,3.957574329,3.252139974,2.555532547,1.238769568,0.652908369,0.19245009,7.738153529,3.905316587,3.016444001,2.045143919,1.571428399,0.529785518,0.315114013,0.050065659,1.539530574,2.459076176,2.357056439,0.932309068,1.489519565,1.196580445,0.607487284,0,0.19245009,0,0.498167809,0,0.091271411,0,0,0,0,0.068041382,0.184195286,0,0,0,0.024056261,0.084343723,0,0,6,0,0,0,0,0,665.0650988,731.3310874,925.1277318,806.1380053,378.6110622,61.74550973,18.26863005,28.87307616,39.66708175,42.17815628,0,0,10.185242,22.352758,219.9290546,1.5,2.2,2.6,215.433,0.494005968,0.151109111,0.151109111,-0.494005968,221.481,0,54,3.169451192,216.797758,7.560477932,4.753218858,5.396228044,2.734353845,1.754906975,1.12306055,0.677532666,7.738153529,3.905316587,3.016444001,2.045143919,1.571428399,-0.21,7.892145046,3.260789031,1.440498287,3.1111,45.704,10,0,1,1,0,3,1,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0,0,9.23,73.0807043,4.736862954,0,0,0,0,17.66730696,28.06267803,0,16.60515037,0,5.749511833,0,0,0,4.736862954,0,0,0,0,7.109797541,27.69445403,0,5.749511833,27.53088379,4.736862954,7.109797541,0,0,0,22.67182072,5.022633314,0,0,0,7,0,1,1,0,0,0,0,0,1,0,10,4,0,0,3,3,0,1,2,1,0,0,0,0,3,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,3.4654,0,1.1229,1.1091,0.265081262,-26.8592,-6.419502868,-22.8326,-5.457122371,-9.688218371,1,1,0,3.1111,45.644,221.47894,0,9.23
1054,4-bromo-2-chloroanisole,50438-47-6,5.26,COc1ccc(Br)cc1Cl,0.142857143,3.357,221.4786663,0,1,1.9,7,7,10,0,16,6,6,3.2264,10.40965696,44.9488,0,1,1,1,1,0,0,1,0,0.041968079,46,116,12,19.39801301,1.939801301,7.781298614,2.761719923,0,4.321928095,9.23,1,0.5,0,0.825481812,0.965489385,0,1.650963624,5.853800636,0,1.650963624,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,8.1,3.408284024,0.142857143,166.03,0.6,84,7.560477932,4.736382105,4.063836075,3.133525958,2.334582796,1.39430162,0.830066507,0.144337567,7.738153529,3.899333523,3.101743659,1.902461849,1.391326403,0.634615757,0.422807149,0.03077774,1.409242502,1.947505821,2.068381304,0.789566049,1.093468735,1.020644467,0.691044062,0,0.11785113,0,0.549915818,0,0.038575837,0,0,0,0,0.068041382,0.184195286,0,0,0,0.024056261,0.084343723,0,0,6,0,0,0,0,0,647.1656896,705.3583859,881.6285044,731.0535835,351.6561053,61.74550973,18.26863005,28.87307616,30.80510614,35.52548082,0,0,10.185242,22.352758,219.9290546,1.5,2.2,2.7,215.433,0.495198375,0.137027181,0.137027181,-0.495198375,221.481,0,54,3.069982715,237.047758,7.560477932,4.736382105,5.396228044,2.72837078,1.778868004,1.113840646,0.640751832,7.738153529,3.899333523,3.101743659,1.902461849,1.391326403,-0.21,7.892145046,3.260789031,1.641877148,3.1111,45.704,10,0,1,1,0,3,1,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0,0,9.23,73.0807043,4.736862954,0,0,0,0,27.53088379,18.19910121,4.472719516,12.13243086,5.749511833,0,0,0,0,4.736862954,0,0,0,0,7.109797541,27.69445403,0,5.749511833,27.53088379,4.736862954,7.109797541,0,0,0,22.67182072,5.022633314,0,0,0,7,0,1,1,0,0,0,0,0,1,0,10,4,0,0,3,3,0,1,2,1,0,0,0,0,3,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,3.4836,0,1.1585,1.1076,0.264722753,-27.6905,-6.618188337,-25.4588,-6.084799235,-10.31589524,1,1,0,3.1111,45.644,221.47894,0,9.23
1055,"2-bromo-3,5-dichloroanisole",,5.82,COc1cc(Cl)cc(Cl)c1Br,0.142857143,3.979,255.9236631,0,1,1.79,7,6,11,0,16,6,6,3.8908,15.13832464,49.7536,0,1,1,1,1,0,0,1,0,0.036354315,52,146,15,21.24065419,1.930968562,10.27855121,2.760704822,0,4.459431619,9.23,0.666666667,0.4,0,0.516397779,1.277886208,0,0.5,5.111544834,0,3.532775529,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,9.090909091,3.6,0.142857143,146.04,0.545454545,91,8.43072142,5.147065708,4.581304823,3.644788198,2.68009506,1.770298798,0.737662048,0.297003623,8.794696679,4.382946899,3.540488651,2.742061794,1.546436995,0.999989388,0.307460874,0.116100137,1.967682924,2.809864444,3.707873343,1.569714497,1.713868503,2.246696078,0.883494151,0,0.232307808,0,0.657066346,0,0.218578042,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.096666586,0,0,6,0,0,0,0,0,812.9424334,908.0293166,1188.344327,1055.193365,561.8233403,70.45845964,21.22040069,34.77661743,61.27576514,39.11799406,0,0,9.512035,23.865965,253.8900822,1.363636364,2,2.545454545,250.886,0.4954667,0.135540352,0.135540352,-0.4954667,255.926,0,60,3.244095211,275.3882381,8.43072142,5.147065708,5.696842248,2.834019684,1.903854474,1.179519651,0.680913925,8.794696679,4.382946899,3.540488651,2.742061794,1.546436995,0.08,9.170252708,3.654513294,2.013197588,3.7645,50.714,11,0,1,1,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0,0,9.23,83.38397052,4.736862954,0,0,0,0,23.20187978,21.99631097,11.08900038,16.60515037,5.749511833,0,0,0,0,4.736862954,0,0,0,0,7.109797541,26.65072028,0,5.749511833,39.13182368,4.736862954,7.109797541,0,0,0,16.60545365,10.04526663,0,0,0,7,0,2,1,0,0,0,0,0,1,0,11,5,0,0,3,3,0,1,2,1,0,0,0,0,4,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,2.99,0,1.1042,2.6448,0.632122371,-25.9759,-6.208389101,-23.0436,-5.507552581,-10.62727258,1,1,0,3.7645,50.654,255.924,0,9.23
1056,"2-bromo-4,6-dichloroanisole",60633-26-3,5.48,COc1c(Cl)cc(Cl)cc1Br,0.142857143,3.979,255.9236631,0,1,1.79,7,7,11,0,16,6,6,3.8908,15.13832464,49.7536,0,1,1,1,1,0,0,1,0,0.036354315,52,146,15,21.23979171,1.930890155,10.28872,2.75776014,0,4.459431619,9.23,1,0.5,0,0.5,1.298671662,0,0.5,5.111544834,0,3.532775529,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,9.090909091,3.6,0.142857143,146.04,0.545454545,91,8.43072142,5.147065708,4.603246906,3.481515983,3.080741961,1.361036047,0.993793492,0.15713484,8.794696679,4.382946899,3.60065605,2.255185932,2.162542681,0.607454736,0.513708971,0.043358132,1.811696101,3.206458927,3.241689506,1.086705155,2.121539651,1.775006532,0.896162419,0,0.19245009,0,0.687150045,0,0.091271411,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.096666586,0,0,6,0,0,0,0,0,810.106652,904.3022383,1181.757517,1066.050012,593.298972,70.45845964,21.22040069,34.77661743,45.57062303,73.48004893,0,0,9.512035,23.865965,253.8900822,1.363636364,2,2.454545455,250.886,0.494004082,0.151217331,0.151217331,-0.494004082,255.926,0,60,3.24771319,252.1382381,8.43072142,5.147065708,5.696842248,2.834019684,1.902683243,1.16717776,0.723963292,8.794696679,4.382946899,3.60065605,2.255185932,2.162542681,0.08,9.170252708,3.654513294,2.013197588,3.7645,50.714,11,0,1,1,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0,0,9.23,83.38397052,4.736862954,0,0,0,0,23.20187978,28.06267803,5.022633314,16.60515037,0,5.749511833,0,0,0,4.736862954,0,0,0,0,7.109797541,26.65072028,0,5.749511833,39.13182368,4.736862954,7.109797541,0,0,0,16.60545365,10.04526663,0,0,0,7,0,2,1,0,0,0,0,0,1,0,11,5,0,0,3,3,0,1,2,1,0,0,0,0,4,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,3.3365,0,1.226,2.643,0.631692161,-29.1635,-6.970243786,-24.306,-5.809273423,-10.92899342,1,1,0,3.7645,50.654,255.924,0,9.23
1057,"3-bromo-2,4-dichloroanisole",174913-16-7,5.54,COc1ccc(Cl)c(Br)c1Cl,0.142857143,3.979,255.9236631,0,1,1.79,7,7,11,0,16,6,6,3.8908,15.13832464,49.7536,0,1,1,1,1,0,0,1,0,0.036354315,52,146,16,21.24145811,1.931041646,10.26573292,2.762177162,0,4.459431619,9.23,1,0.5,0,0.577350269,1.208550159,0,1,4.298279727,0,3.965406457,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,9.090909091,3.6,0.142857143,146.04,0.545454545,95,8.43072142,5.16390246,4.441195612,3.987659793,2.52617223,1.545542779,0.896182668,0.297003623,8.794696679,4.388929963,3.455773222,3.190099424,1.44119122,0.730324577,0.379561709,0.152850396,2.293681981,2.983082252,3.638257305,1.997119717,2.149062633,2.328655919,0.787269107,0,0.343418919,0,0.609820787,0,0.333304595,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.096666586,0,0,6,0,0,0,0,0,825.4753092,924.3484618,1212.969697,1095.059675,510.9737104,70.45845964,21.22040069,34.77661743,75.98299162,36.41500487,0,0,9.512035,23.865965,253.8900822,1.363636364,2,2.545454545,250.886,0.495154325,0.138214914,0.138214914,-0.495154325,255.926,0,60,3.249228926,275.3882381,8.43072142,5.16390246,5.696842248,2.840002748,1.877610352,1.219667298,0.665833347,8.794696679,4.388929963,3.455773222,3.190099424,1.44119122,0.08,9.170252708,3.654513294,1.807700645,3.7645,50.714,11,0,1,1,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0,0,9.23,83.38397052,4.736862954,0,0,0,0,23.20187978,28.06267803,0,21.62778368,5.749511833,0,0,0,0,4.736862954,0,0,0,0,7.109797541,26.65072028,0,5.749511833,39.13182368,4.736862954,7.109797541,0,0,0,16.60545365,10.04526663,0,0,0,7,0,2,1,0,0,0,0,0,1,0,11,5,0,0,3,3,0,1,2,1,0,0,0,0,4,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,2.8129,0,1.0271,2.6452,0.632217973,-23.9849,-5.732528681,-20.441,-4.885516252,-10.00523625,1,1,0,3.7645,50.654,255.924,0,9.23
1058,"3-bromo-2,6-dichloroanisole",174913-18-9,5.7,COc1c(Cl)ccc(Br)c1Cl,0.142857143,3.979,255.9236631,0,1,1.79,7,6,11,0,16,6,6,3.8908,15.13832464,49.7536,0,1,1,1,1,0,0,1,0,0.036354315,52,144,16,21.23997958,1.930907234,10.28316512,2.757129137,0,4.459431619,9.23,0.666666667,0.4,0,0.447213595,1.373178096,0,1,4.298279727,0,3.965406457,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,9.090909091,3.6,0.142857143,146.04,0.545454545,87,8.43072142,5.16390246,4.463137695,3.852571242,2.717102985,1.639387833,0.712249944,0.280731778,8.794696679,4.388929963,3.515940621,2.768044926,1.532761066,0.982839236,0.314332947,0.116100137,2.166635271,3.085053104,3.812475761,1.580632766,1.760330869,2.256287262,0.799937374,0,0.310875228,0,0.639904486,0,0.223053819,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.096666586,0,0,6,0,0,0,0,0,817.154422,914.6479551,1201.603203,1098.932234,553.0579713,70.45845964,21.22040069,34.77661743,60.27784951,39.36677551,0,0,9.512035,23.865965,253.8900822,1.363636364,2,2.454545455,250.886,0.49358072,0.156677967,0.156677967,-0.49358072,255.926,0,60,3.287688772,275.3882381,8.43072142,5.16390246,5.696842248,2.840002748,1.876439122,1.206063582,0.695586175,8.794696679,4.388929963,3.515940621,2.768044926,1.532761066,0.08,9.170252708,3.654513294,1.807700645,3.7645,50.714,11,0,1,1,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0,0,9.23,83.38397052,4.736862954,0,0,0,0,23.20187978,28.06267803,4.472719516,17.15506417,0,5.749511833,0,0,0,4.736862954,0,0,0,0,7.109797541,26.65072028,0,5.749511833,39.13182368,4.736862954,7.109797541,0,0,0,16.60545365,10.04526663,0,0,0,7,0,2,1,0,0,0,0,0,1,0,11,5,0,0,3,3,0,1,2,1,0,0,0,0,4,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,3.1037,0,1.148,2.6443,0.632002868,-27.1413,-6.486926386,-22.1564,-5.295506692,-10.41522669,1,1,0,3.7645,50.654,255.924,0,9.23
1059,"4-bromo-2,3-dichloroanisole",,5.9,COc1ccc(Br)c(Cl)c1Cl,0.142857143,3.979,255.9236631,0,1,1.79,7,7,11,0,16,6,6,3.8908,15.13832464,49.7536,0,1,1,1,1,0,0,1,0,0.036354315,52,146,16,21.24145811,1.931041646,10.26573292,2.762177162,0,4.459431619,9.23,1,0.5,0,0.577350269,1.208550159,0,1,4.298279727,0,3.965406457,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,9.090909091,3.6,0.142857143,146.04,0.545454545,95,8.43072142,5.16390246,4.441195612,3.987659793,2.52617223,1.545542779,0.896182668,0.297003623,8.794696679,4.388929963,3.487876198,2.973332041,1.50845729,0.732750779,0.454078057,0.119122156,2.293681981,2.983082252,3.638257305,1.779110747,2.050929426,2.182161502,0.787269107,0,0.343418919,0,0.625872275,0,0.274479084,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.096666586,0,0,6,0,0,0,0,0,819.3428737,916.3466294,1201.559358,1086.243984,511.3114234,70.45845964,21.22040069,34.77661743,65.05876943,42.40928144,0,0,9.512035,23.865965,253.8900822,1.272727273,1.909090909,2.454545455,250.886,0.495140719,0.138559542,0.138559542,-0.495140719,255.926,0,60,3.249228926,275.3882381,8.43072142,5.16390246,5.696842248,2.840002748,1.877610352,1.219667298,0.665833347,8.794696679,4.388929963,3.487876198,2.973332041,1.50845729,0.08,9.170252708,3.654513294,1.807700645,3.7645,50.714,11,0,1,1,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0,0,9.23,83.38397052,4.736862954,0,0,0,0,23.20187978,28.06267803,4.472719516,12.13243086,10.77214515,0,0,0,0,4.736862954,0,0,0,0,7.109797541,26.65072028,0,5.749511833,39.13182368,4.736862954,7.109797541,0,0,0,16.60545365,10.04526663,0,0,0,7,0,2,1,0,0,0,0,0,1,0,11,5,0,0,3,3,0,1,2,1,0,0,0,0,4,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,2.8644,0,1.0711,2.6427,0.631620459,-25.0772,-5.993594646,-21.3215,-5.095960803,-10.2156808,1,1,0,3.7645,50.654,255.924,0,9.23
1060,"4-bromo-2,6-dichloroanisole",19240-91-6,5.49,COc1c(Cl)cc(Br)cc1Cl,0.142857143,3.979,255.9236631,0,1,1.79,7,7,11,0,16,6,6,3.8908,15.13832464,49.7536,0,1,1,1,1,0,0,1,0,0.036354315,52,146,15,21.23979171,1.930890155,10.28872,2.75776014,0,4.459431619,9.23,1,0.5,0,0.5,1.298671662,0,0.5,5.111544834,0,3.532775529,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,9.090909091,3.6,0.142857143,146.04,0.545454545,91,8.43072142,5.147065708,4.603246906,3.481515983,3.080741961,1.361036047,0.993793492,0.15713484,8.794696679,4.382946899,3.632759026,2.186519001,2.086757608,0.651733273,0.55736709,0.036298264,1.811696101,3.206458927,3.241689506,1.013968406,1.94846704,1.703617801,0.896162419,0,0.19245009,0,0.705684707,0,0.06681531,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.096666586,0,0,6,0,0,0,0,0,804.013803,895.6447168,1167.545148,1049.549579,591.8545321,70.45845964,21.22040069,34.77661743,40.64067741,69.7791441,0,0,9.512035,23.865965,253.8900822,1.272727273,1.727272727,2.090909091,250.886,0.493623076,0.155600388,0.155600388,-0.493623076,255.926,0,60,3.24771319,252.1382381,8.43072142,5.147065708,5.696842248,2.834019684,1.902683243,1.16717776,0.723963292,8.794696679,4.382946899,3.632759026,2.186519001,2.086757608,0.08,9.170252708,3.654513294,2.013197588,3.7645,50.714,11,0,1,1,0,4,1,0,1,0,0,0,0,1,0,0,0,1,0.142857143,0,0,9.23,83.38397052,4.736862954,0,0,0,0,39.13182368,12.13273414,4.472719516,17.15506417,0,5.749511833,0,0,0,4.736862954,0,0,0,0,7.109797541,26.65072028,0,5.749511833,39.13182368,4.736862954,7.109797541,0,0,0,16.60545365,10.04526663,0,0,0,7,0,2,1,0,0,0,0,0,1,0,11,5,0,0,3,3,0,1,2,1,0,0,0,0,4,1,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,3.3419,0,1.2347,2.6422,0.631500956,-29.3905,-7.024498088,-24.5855,-5.876075526,-10.99579553,1,1,0,3.7645,50.654,255.924,0,9.23
